,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
12,12,12,12,B09MFCTXWH,"FIT FOUR ® Yoga MAT for Men and Women with 5-MM Anti-Slip, Light Weight, Extra Large Made by EVA Quality for Men & Women Gym Workout and Yoga Exercise with Shoulder Strap (Qnty-1 Pcs)",FIT,0,0,0,369,3.8,80,78,"Tuesday, February 22",1,80,https://m.media-amazon.com/images/I/610PQckk-dL._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09MFCTXWH
13,13,13,13,B091M5FN3V,"Boldfit Yoga mat for Women and Men with Cover Bag EVA Material exercise mat for Workout Yoga Fitness Pilates and Meditation, Anti Tear Anti Slip For Home & Gym Use",Boldfit,0,1,0,598,4.2,"2,378",33,"Sunday, February 20",1,"2,378",https://m.media-amazon.com/images/I/81SXMXvPKWS._SX679_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B091M5FN3V
14,14,14,14,B09491R2JP,VIFITKIT 6MM Premium Yoga Mat with Free Carrying Bag & Strap for Home Gym and Outdoor Workout with Free Skipping Rope (Made in India),VIFITKIT,0,0,0,529,3.8,593,71,"Sunday, February 20",1,593,https://m.media-amazon.com/images/I/71BnvP9PMGS._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09491R2JP
15,15,15,15,B09M6VM2Y4,"FIT FOUR ® Yoga MAT with Anti Skid, Light Weight, Extra Large Made by EVA Quality for Men & Women Gym Workout and Yoga Exercise with Shoulder Strap (Qnty-1 Pcs)",FIT,0,0,0,299,3.5,252,81,"Tuesday, February 22",1,252,https://m.media-amazon.com/images/I/71-PwUTLvgL._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09M6VM2Y4
16,16,16,16,B08KQGY56C,Yogarise Yoga & Exercise Mat for Gym Workout and Flooring Exercise for Men and Women with Bag and Strap,Yogarise,0,0,0,407,3.9,781,73,"Sunday, February 20",0,781,https://m.media-amazon.com/images/I/71sH3mJWqUL._SY450_.jpg,Yoga Mat_A1,,SKU: B08KQGY56C
17,17,17,17,B08XJJFFCB,BeFiT® Anti-Skid Yoga Mat for Gym Workout and Yoga Exercise with Carrying Strap,BeFiT®,0,0,0,399,3.9,815,80,"Monday, February 21",0,815,https://m.media-amazon.com/images/I/91oF8KFn50L._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B08XJJFFCB
18,18,18,18,B08H5K1F5S,Effingo Non-Slip Eco Friendly 4 mm Comfort Yoga and Exercise Mat (Multicolour),Effingo,0,0,0,210,2.4,3,79,"Tuesday, February 22",0,3,https://m.media-amazon.com/images/I/41aldKdayaL._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B08H5K1F5S
19,19,19,19,B08H5L3W11,Effingo Yoga and Exercise mat of 4mm Multicolour Yoga Mat with Yoga Mat Carry Strap 100% Eco Friendly (Multicolour),Effingo,0,0,0,214,3.5,451,79,"Tuesday, February 22",0,451,https://m.media-amazon.com/images/I/61O643Qb6dL._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B08H5L3W11
20,20,20,20,B09RPVFWHW,"Boldfit Yoga mat for Women and Men with Cover Bag EVA Material exercise mat for Workout Yoga Fitness Pilates and Meditation, Anti Tear Anti Slip For Home & Gym Use",Boldfit,1,1,0,499,4.2,"2,378",29,"Wednesday, February 23",1,"2,378",https://m.media-amazon.com/images/I/81SXMXvPKWS._AC_UL320_.jpg,Yoga Mat_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09RPVFWHW
21,21,21,21,B07L315ZWV,"Boldfit Yoga Mat for Men and Women NBR Material with Carrying Strap, 1/2 Inch (10mm) Extra Thick Exercise Mats for Workout Yoga Fitness Pilates & High-Density Anti-Tear Non-Slip",Boldfit,1,0,0,987,3.9,"1,717",45,"Friday, February 18",1,"1,717",https://m.media-amazon.com/images/I/6104G764M6L._AC_UL320_.jpg,Yoga Mat_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07L315ZWV
22,22,22,22,B08KQGY56C,Yogarise Yoga & Exercise Mat for Gym Workout and Flooring Exercise for Men and Women with Bag and Strap,Yogarise,1,0,0,407,3.9,781,73,"Sunday, February 20",0,781,https://m.media-amazon.com/images/I/61Qbc5JwjxL._SX450_.jpg,Yoga Mat_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
",SKU: B08KQGY56C
23,23,23,23,B09KLHWGNJ,The Cube Performance Mat | Premium Double sided Yoga Mat with Carry Bag | Anti Skid | Anti Slip | Best for Home Gym Workout | Suitable for both Men & Women,The,1,0,0,"1,999",4.4,47,33,"Monday, February 21",1,47,https://m.media-amazon.com/images/I/51VI8H6dYuL._AC_UL320_.jpg,Yoga Mat_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09KLHWGNJ
24,24,24,24,B08KQDWSPD,YOGARISE 4mm Yoga Mat with Carry Bag for Home Gym & Outdoor Workout for Men & Women (Marble),YOGARISE,0,0,0,474,3.9,"2,343",72,"Sunday, February 20",0,"2,343",https://m.media-amazon.com/images/I/719fW6sKkuS._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B08KQDWSPD
25,25,25,25,B0993LYV1H,"JMD International Yoga Mat with Strap for Gym Workout and Yoga Exercise , Anti-Slip Yoga Mat for Men & Women Fitness Thickness 4mm",JMD,0,0,0,291,2.9,17,64,"Tuesday, February 22",0,17,https://m.media-amazon.com/images/I/61Sggb4Q0wS._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B0993LYV1H
26,26,26,26,B08D8DD3ZK,Home Space Yoga MATS for Gym and Home Exercise USE,Home,0,0,0,281,3.2,18,53,"Wednesday, February 23",0,18,,Yoga Mat_A1,,SKU: B08D8DD3ZK
27,27,27,27,B08X1J52TH,VIFITKIT Multicolour Non Slip Durable Eco Friendly yoga mat with Free Carrying Bag for Home Gym Outdoors and Pilates (6mm),VIFITKIT,0,0,0,529,3.9,319,69,"Sunday, February 20",1,319,https://m.media-amazon.com/images/I/613EyoK0EiL._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B08X1J52TH
28,28,28,28,B07ZBJL6CB,Effingo Yoga and Exercise mat of 4 mm Parrot Green Yoga Mat with Yoga Mat Carry Strap 100% Eco Friendly,Effingo,0,0,0,260,3.7,525,71,"Tuesday, February 22",0,525,https://m.media-amazon.com/images/I/41z7O9T7-gL._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B07ZBJL6CB
29,29,29,29,B09H7KNG8T,"RVG® Yoga mat for Women and Men with Bag, EVA Material 6mm Extra Thick Exercise mat for Workout Yoga Fitness Pilates and Meditation, Anti Tear Anti Slip For Gym and Home Use",RVG®,0,0,0,499,4.8,26,58,"Monday, February 21",1,26,https://m.media-amazon.com/images/I/51-oOf2D48L._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09H7KNG8T
30,30,30,30,B099DZBYPQ,"Hetsons Yoga Mat 6MM Non-Slippery Yoga Mat for Gym, Work Out, Flooring Exercise Ideal for Men and Women_Size-61 cm X173 cm Color-Blue",Hetsons,0,0,0,449,5.0,3,55,"Monday, February 21",1,3,https://m.media-amazon.com/images/I/51AP496cd6L._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B099DZBYPQ
31,31,31,31,B09MS3VY3P,"MuscleXP Yoga Mat for Women and Men with Cover Bag, Superior EVA Material, 6mm Extra Thick Exercise mat For Home Exercise, Anti Tear Anti Slip For Home & Gym Use (Purple)",MuscleXP,0,0,0,"1,199",5.0,19,14,"Friday, February 18",1,19,https://m.media-amazon.com/images/I/61aIu6Hfz+L._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09MS3VY3P
32,32,32,32,B09RVXLM1P,MAXWELL® Premium Yoga Mat(SIZE-6mm) for Women and Men with Carrying Strap Extra Thick & Large Excercise Mat for Workout Yoga Fitness Anti Tear Anti Slip(Qnty-1 Pcs),MAXWELL®,0,0,0,499,5.0,2,69,"Tuesday, February 22",0,2,https://m.media-amazon.com/images/I/51myf0tDmWL._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B09RVXLM1P
33,33,33,33,B08QWZGBBR,"GOQii Yoga Mat and Cover with 3 Months Personal Coaching Subscription, Others",GOQii,0,0,0,594,4.8,7,80,"Monday, February 21",1,7,https://m.media-amazon.com/images/I/61DtPeMUjnL._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B08QWZGBBR
34,34,34,34,B09N73XBKK,"LAKCY ®Yoga mat for Women and Men Made with Large in Size and Free Carry Strap with Anti Slip Texture and Sports, Fitness &Outdoors,Exercise Workout for Gym &Exercise",LAKCY,0,0,0,299,3.7,76,81,"Tuesday, February 22",1,76,https://m.media-amazon.com/images/I/611gwkG-KzL._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09N73XBKK
35,35,35,35,B09JZH9FR4,"Inditradition Economic Exercise & Yoga Mat (4mm Thick, Pack of 1) | Ultralight, Soft PVC, Anti-Slip, Indoor-Outdoor Use (Assorted Colour)",Inditradition,0,0,0,399,4.0,10,60,"Monday, February 21",0,10,https://m.media-amazon.com/images/I/51RWa9f6WmL._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B09JZH9FR4
36,36,36,36,B09P1836R1,"Jaintech Elegant Fancy Anti Skid 5mm Thick Yoga Mat for Exercise, Yoga, Gym, Workout for Men / Women [Grey, Color May Vary, Pack of 1]",Jaintech,0,0,0,299,5.0,1,57,"Wednesday, February 23",0,1,https://m.media-amazon.com/images/I/31fXZIRQ3NS._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B09P1836R1
37,37,37,37,B09G3DGMT5,Eurofil High Elasticity Non Slip Yoga Mat Thick for Women and Men Workout Mat for Home Fitness Exercise Travel Pilate hot Yoga Mat Purple,Eurofil,0,0,0,295,0.0,0,82,"Tuesday, February 22",0,"₹295
₹1,659 Save ₹1,364 (82%)",https://m.media-amazon.com/images/I/51wD8ItJlTL._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B09G3DGMT5
38,38,38,38,B097QY6TTX,"SAAGAS Yoga Mat for gym Workout and yoga exercise with 4mm thickness, 6 � 2 Feet, Anti-skid thick yoga and exercise mat for for Men and women for fitness workout activities",SAAGAS,0,0,0,291,2.9,7,58,"Wednesday, February 23",0,7,https://m.media-amazon.com/images/I/61aM3y1sxpL._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B097QY6TTX
39,39,39,39,B09Q1CX6RZ,"SKAUP Yoga Mat Non-Slippery Yoga Mat for Gym, Work Out, Flooring Exercise Ideal for Men and Women, Eco Friendly (Multicolour)",SKAUP,0,0,0,399,4.0,6,60,"Monday, February 21",1,6,https://m.media-amazon.com/images/I/41MxYBTjA5L._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09Q1CX6RZ
40,40,40,40,B08LCJZTB7,"ARNV Yoga and Exercise Mat with Carrying Strap, 10mm (Made in India)",ARNV,0,0,0,699,3.7,38,42,"Saturday, February 19",1,38,https://m.media-amazon.com/images/I/81ZX4jrmGBL._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B08LCJZTB7
41,41,41,41,B08NC266ZH,Biggest Fly Extra Thick Yoga and Exercise Mat,Biggest,0,0,0,240,3.5,26,34,"Monday, February 21",1,26,https://m.media-amazon.com/images/I/61V+-7ICgjL._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B08NC266ZH
42,42,42,42,B09Q64JQKN,"BOSTER Premium Yoga Mat for Women and Men with Carrying Strap Extra Thick & Large 6 feet Excercise Mat for Workout Yoga Fitness Home Gym and Meditation, Anti Tear Anti Slip | ""Secrets of Yoga"" E-Book Included |",BOSTER,0,0,0,499,4.0,"1,041",75,"Sunday, February 20",1,"1,041",https://m.media-amazon.com/images/I/61keBVpaxLL._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09Q64JQKN
43,43,43,43,B0972FRWS7,OJS® Antiskid Eco Friendly Exercise Thick Eva Quality Yoga Mat 6mm For Men And Women Extra Long For Inside And Outside Workout With Carrying Cover(Made In India),OJS®,0,0,0,474,3.9,304,53,"Monday, February 21",0,304,https://m.media-amazon.com/images/I/6175PVX1oGS._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B0972FRWS7
44,44,44,44,B09L7V8N1C,Keshav Fab Yoga Mat for Gym Workout and Yoga Exercise with 6 mm Extra Thickness | Set of 1,Keshav,0,0,0,399,4.1,21,60,"Tuesday, February 22",1,21,,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09L7V8N1C
45,45,45,45,B097YRCLJ1,Gmefvr Exercise Yoga Mat Ultra Thin 1.5/2mm Very Light weight Multi Random Color For Men Women Kids,Gmefvr,0,0,0,195,2.9,37,51,"Thursday, February 24",0,37,https://m.media-amazon.com/images/I/41u83z+AFOL._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B097YRCLJ1
46,46,46,46,B0953BJDNJ,"REXERA® Yoga Mat for Gym Workout and Yoga Exercise with 6mm Thickness, Anti-Slip Yoga Mat for Men & Women Fitness (Qnty.-1 Pcs.)",REXERA®,0,0,0,499,3.9,520,71,"Monday, February 21",1,520,https://m.media-amazon.com/images/I/519qJYFaoWS._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B0953BJDNJ
47,47,47,47,B09NXPJS14,OJS Eva Yoga Mat 4MM With Carrying strap With High Density Anti-Skid for Men & Women For Indoor And Outdoor Exercise With Sweat Resistant,OJS,0,0,0,399,5.0,10,33,"Monday, February 21",0,10,https://m.media-amazon.com/images/I/6175PVX1oGS._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B09NXPJS14
48,48,48,48,B09BZ7Z5NT,"Zofey Yoga Mat with Carrying Bag for Gym Workout and Yoga Exercise with 6mm And 10mm Thickness, Anti-Slip Yoga Mat for Men & Women Fitness (Made in India)",Zofey,0,0,0,474,4.2,92,72,"Monday, February 21",0,92,https://m.media-amazon.com/images/I/71IOQORV5DL._SY450_.jpg,Yoga Mat_A1,,SKU: B09BZ7Z5NT
49,49,49,49,B09G3C3FRR,"Eurofil High Elasticity Non Slip Yoga Mat Thick for Women and Men, Workout Mat for Home Fitness Exercise Travel Pilate hot Yoga Mat .",Eurofil,0,0,0,275,4.5,2,83,"Tuesday, February 22",0,2,https://m.media-amazon.com/images/I/71oQ0ZsABhL._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B09G3C3FRR
50,50,50,50,B095HWN1HH,VIFITKIT 6mm Premium Yoga Mat with Free Carrying Bag & Strap for Home Gym and Outdoor Workout for men and women with Free Skipping Rope (Made in India),VIFITKIT,0,0,0,529,3.9,336,72,"Sunday, February 20",1,336,https://m.media-amazon.com/images/I/61gdzy15L4S._SX425_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B095HWN1HH
51,51,51,51,B09G2XM555,"Eurofil High Elasticity Non Slip Yoga Mat Thick for Women and Men, Workout Mat for Home Fitness Exercise Travel Pilate hot Yoga Mat .",Eurofil,0,0,0,278,3.6,12,81,"Tuesday, February 22",0,12,https://m.media-amazon.com/images/I/61isrj3EyKL._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B09G2XM555
52,52,52,52,B09KNDLYH1,USFITNESS Yoga Foldable Mat Gymnastic Training Tumbling High Density Non Slip Exercise for Gym & Home Workout Men & Women (Black),USFITNESS,0,0,0,499,5.0,1,58,"Wednesday, February 23",0,1,https://m.media-amazon.com/images/I/41hpPZllRnL._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B09KNDLYH1
53,53,53,53,B0993KNW8R,"JMD International Yoga Mat with Strap for Gym Workout and Yoga Exercise , Anti-Slip Yoga Mat for Men & Women Fitness (6 X 2 FEET, GREEN)",JMD,0,0,0,275,5.0,1,54,"Wednesday, February 23",0,1,https://m.media-amazon.com/images/I/51aYwuKpxqS._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B0993KNW8R
54,54,54,54,B09S2WFKNL,"Yoga Mat - 13MM Thick High Density NBR Eco Friendly Non Slip Exercise & Fitness Mat for Mens and Women All Types of Yoga, WorkoutsFUNKO POP! MARVEL (72""inch x 24"" inchx 13mm)",Yoga,0,0,0,749,4.8,709,63,"Monday, February 21",1,709,https://m.media-amazon.com/images/I/81STNLPF64L._SY450_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09S2WFKNL
55,55,55,55,B093WSK5P8,"LR Decor Yoga Mat for Gym Workout & Yoga Exercise with 4mm Thickness, Anti-Slip Yoga Mat for Men & Women Fitness (Qnty.-1 Pcs.) (Multi)",LR,0,0,0,329,5.0,3,79,"Tuesday, February 22",1,3,https://m.media-amazon.com/images/I/41puuY1Q8PL._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B093WSK5P8
56,56,56,56,B09491R2JP,VIFITKIT 6MM Premium Yoga Mat with Free Carrying Bag & Strap for Home Gym and Outdoor Workout with Free Skipping Rope (Made in India),VIFITKIT,1,0,0,529,3.8,593,71,"Sunday, February 20",1,593,https://m.media-amazon.com/images/I/71BnvP9PMGS._AC_UL320_.jpg,Yoga Mat_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09491R2JP
